,reviews,stars,date,country,verified,corpus
0,"✅ Trip Verified | On the memorable day of January 9th, my family and I embarked on a journey from London Heathrow, Terminal 5, destined for Glasgow. Little did we anticipate the series of events that would unfold, shaping our travel experience into a tale of exceptional service and unwavering dedication. As we navigated the bustling corridors of the airport, our journey encountered an unexpected hurdle. It was at this juncture that I found myself grappling with booking complications, compounded by banking delays. Amid this quandary, I sought assistance from British Airways personnel at Terminal 5, hoping to salvage our travel plans. Enter Mr. Sathies, a beacon of hope amidst the chaos. With a demeanour exuding empathy and professionalism, Mr. Sathies swiftly assessed the situation at hand. Despite the setback, he wasted no time in springing into action, exploring every avenue to mitigate the impact of the unforeseen challenges we faced. The sequence of events unfolded with remarkable clarity as Mr Sathies tirelessly liaised with various stakeholders, including senior colleagues and his managerial counterpart, Mr Gurvir Singh Dhillon. Their collaborative efforts culminated in a solution that exceeded all expectations. Through Mr. Sathies' unwavering dedication and Mr. Gurvir Singh Dhillon's steadfast support, our travel arrangements were salvaged without incurring any additional costs. Despite the initial uncertainty, my family and I were able to proceed with our journey, embarking on our flight to Glasgow with a renewed sense of gratitude and appreciation for the exceptional service rendered by British Airways. As I reflect upon the precise sequence of events that transpired on that fateful day, I am filled with profound gratitude towards Mr. Sathies, Mr. Gurvir Singh Dhillon, and the entire British Airways team. Their meticulous attention to detail and unwavering commitment to customer satisfaction reaffirmed my faith in British Airways as a paragon of excellence within the aviation industry.",5.0,2024-02-06,Nigeria,True,memorable day january th family embarked journey london heathrow terminal destined glasgow little anticipate series event would unfold shaping travel experience tale exceptional service unwavering dedication navigated bustling corridor airport journey encountered unexpected hurdle juncture found grappling booking complication compounded banking delay amid quandary sought assistance british airway personnel terminal hoping salvage travel plan enter mr sathies beacon hope amidst chaos demeanour exuding empathy professionalism mr sathies swiftly assessed situation hand despite setback wasted time springing action exploring every avenue mitigate impact unforeseen challenge faced sequence event unfolded remarkable clarity mr sathies tirelessly liaised various stakeholder including senior colleague managerial counterpart mr gurvir singh dhillon collaborative effort culminated solution exceeded expectation mr sathies unwavering dedication mr gurvir singh dhillon steadfast support travel arrangement salvaged without incurring additional cost despite initial uncertainty family able proceed journey embarking flight glasgow renewed sense gratitude appreciation exceptional service rendered british airway reflect upon precise sequence event transpired fateful day filled profound gratitude towards mr sathies mr gurvir singh dhillon entire british airway team meticulous attention detail unwavering commitment customer satisfaction reaffirmed faith british airway paragon excellence within aviation industry
1,"Not Verified | I did not actually get to fly with BA as they cancelled the flight with 3 days notice and refused to offer an acceptable alternative, resulting in 2 people losing their holiday (a river cruise). Since then, as appears to be their standard protocol, they have ignored every communication regarding their obligations for compensation and I have no option but to pursue them via official channels. ",8.0,2024-02-05,United Kingdom,False,verified actually get fly ba cancelled flight day notice refused offer acceptable alternative resulting people losing holiday river cruise since appears standard protocol ignored every communication regarding obligation compensation option pursue via official channel
3,"✅ Trip Verified |  I flew to LHR from ATH in Club Europe with BA641 on Dec 31 to transfer to a JAL flight back to Tokyo. At first, I had no great expectations of what services I would enjoy on board, partly because its flight time was less than 4 hours and because the seat configuration of Club Europe was the typical European Business Class with the middle seat empty. Afterward, on board, remembering that I took the same route with BA more than 30 years ago, I got to feel relaxed by their unobtrusive and courteous services. When I asked for a champagne refill a couple of times, a benign smile would come to me.",6.0,2024-01-30,Japan,True,flew lhr ath club europe ba dec transfer jal flight back tokyo first great expectation service would enjoy board partly flight time le hour seat configuration club europe typical european business class middle seat empty afterward board remembering took route ba year ago got feel relaxed unobtrusive courteous service asked champagne refill couple time benign smile would come
4,"✅ Trip Verified |  I like the British Airways World Traveller Plus product. The seats are comfy and the food is good. The crew on this flight were very attentive and friendly especially the CSM who came round and introduced herself to us and made sure we were comfortable. The bars closed half way through the flight to Cancun as they can’t uplift more alcoholic drinks in Cancun. Juice, water, tea and coffee is available. Very full flight. My only criticisms of British Airways Premium Economy is that it feels like they actively try and split families up unless they pay the £100 each to pre book seats. The majority of drinks are served in plastic not glass. There were no inflight snacks available on an 11 hour flight. It’s an upgraded version of Economy, where as other airlines like Qantas and Singapore Airlines are Business minus. Still worth the extra though.",9.0,2024-01-29,United Kingdom,True,like british airway world traveller plus product seat comfy food good crew flight attentive friendly especially csm came round introduced u made sure comfortable bar closed half way flight cancun uplift alcoholic drink cancun juice water tea coffee available full flight criticism british airway premium economy feel like actively try split family unless pay pre book seat majority drink served plastic glass inflight snack available hour flight upgraded version economy airline like qantas singapore airline business minus still worth extra though
5,"✅ Trip Verified |  I have come to boarding and my cabin luggage was taken, ""because the plane is full"". I asked to take it to the cabin, because I have large notebook and  electronics in it, but nothing changes. So, now I am sitting in the plane, holding notebook and several packs from my luggage, and think of how I will stand with all this stuff in my hands in a passport control line in Warsaw. Other people around me have come to the plane with cabin luggage!",8.0,2024-01-28,Ukraine,True,come boarding cabin luggage taken plane full asked take cabin large notebook electronics nothing change sitting plane holding notebook several pack luggage think stand stuff hand passport control line warsaw people around come plane cabin luggage
6,"✅ Trip Verified | Stinking nappies being changed in business cabin throughout flight to Miami. Four of us from one family were travelling British Airways business. I am a British Airways gold card member. I have been a member of British Airways Executive Club since 1979. We only ever fly British Airways, in first class or business class. It has become a habit to fly BA and we do this because we trust them for safety. We have regular long haul flights booked with British Airways in both first and business into next year. We often fly to the USA. Both my wife and I used to have Virgin Atlantic gold cards however we sadly returned to BA because Virgin did not have a first class seat product. Even so the service from virgin’s gold card department was off the scale, absolutely brilliant and we loved the Virgin lounge at Heathrow. Our flight to Miami with British Airways was on one of their double decker aircraft. These are just too big and I believe contributed to the appalling service. Perhaps familiarity breeds contempt however, whether in business or first, I now view BA aircraft as just being dirty buses in the sky. The food is not much better. However, our flight was distinguished by the smell of poo throughout the journey caused by mothers of babies, changing nappies within the business class cabin, instead of doing it where they should be doing it, in the WC. Try enjoying lunch with a glass of wine with air around permeated by the smell of poo. There must have been three or four babies, having nappies changed regularly in our cabin. I can put up with the screaming because that can’t be helped, but not poo. Cabin crew did nothing about it, despite being asked. I Telephoned BA customer services and ended up speaking to a lady in Manchester BA office who told me that she was BA cabin crew for many years. She told me that changing nappies in the cabin should not be allowed, that it is completely unacceptable and particularly awful while passengers are trying to enjoy a meal. My wife and I are flying first class British Airways again to the USA in April and we also have first class tickets to the USA booked for December. I sent in a complaint to BA customer relations on behalf of all four members of my family who travelled British Airways on December 19 to Miami from LHR and had to put up with the disgusting smells which at times were quite dreadful. I received a response offering a £300 voucher or 30,000 Avios. so, given the cost of four business class flights to Miami from London, British Airways value the loss of enjoyment through travelling in a stinking cabin, at £75 per passenger! Given that I am a gold card holder, an extremely good customer, clearly in the top one percent of all BA customers and a gold cardholder, if that is how they behave with me, God knows how they behave with everybody else. All I can tell you is that flying with Virgin Atlantic when I was a Gold member was highly positive. When our children were young, we used to fly BA first class at times and we would not dream of changing a nappy in the cabin! Not in any cabin! When I complained to British Airways, I asked them if changing of nappies in first class would be allowed during dinner service and they ignored the question. I have numerous business class flights booked with BA over the course of the next 12 months as well as first class flight booked. ",3.0,2024-01-26,United Kingdom,True,stinking nappy changed business cabin throughout flight miami four u one family travelling british airway business british airway gold card member member british airway executive club since ever fly british airway first class business class become habit fly ba trust safety regular long haul flight booked british airway first business next year often fly usa wife used virgin atlantic gold card however sadly returned ba virgin first class seat product even service virgin gold card department scale absolutely brilliant loved virgin lounge heathrow flight miami british airway one double decker aircraft big believe contributed appalling service perhaps familiarity breed contempt however whether business first view ba aircraft dirty bus sky food much better however flight distinguished smell poo throughout journey caused mother baby changing nappy within business class cabin instead wc try enjoying lunch glass wine air around permeated smell poo must three four baby nappy changed regularly cabin put screaming helped poo cabin crew nothing despite asked telephoned ba customer service ended speaking lady manchester ba office told ba cabin crew many year told changing nappy cabin allowed completely unacceptable particularly awful passenger trying enjoy meal wife flying first class british airway usa april also first class ticket usa booked december sent complaint ba customer relation behalf four member family travelled british airway december miami lhr put disgusting smell time quite dreadful received response offering voucher avios given cost four business class flight miami london british airway value loss enjoyment travelling stinking cabin per passenger given gold card holder extremely good customer clearly top one percent ba customer gold cardholder behave god know behave everybody else tell flying virgin atlantic gold member highly positive child young used fly ba first class time would dream changing nappy cabin cabin complained british airway asked changing nappy first class would allowed dinner service ignored question numerous business class flight booked ba course next month well first class flight booked
9,"✅ Trip Verified | Not a great experience. I could not check in online as two separate parts of the BA computer system do not talk to each other. At LHR a delightful check in clerk sorted it quickly, manually! We boarded on time, but luggage loading had to be halted as the Captain spotted a technical issue and an engineer was called. By the time it was sorted we had missed our slot so took off an hour behind schedule. The flight was uneventful, but the plane had clearly seen better days, legroom was appalling and the handout of a small bottle of water and a soggy cookie made one wish for the days when flying BA meant something special. Next time it will be Jet2.",6.0,2024-01-18,United Kingdom,True,great experience could check online two separate part ba computer system talk lhr delightful check clerk sorted quickly manually boarded time luggage loading halted captain spotted technical issue engineer called time sorted missed slot took hour behind schedule flight uneventful plane clearly seen better day legroom appalling handout small bottle water soggy cookie made one wish day flying ba meant something special next time jet
10,"Not Verified | I was excited to fly BA as I'd not travelled with them long haul for over 25yrs. I've travelled to Australia on many occasions, so I've pretty much travelled with them all. Terrible was my experience. BA have become the Ryanair of long-haul travel, riding on their previous good name and reputation. We were delayed for 5hrs at the terminal, where we were offered one glass of water and then at the last minute our meal - with no additional drinks offered. The charging points were outdated and 3 out of 5 didn't work (family of five travelling). The in flight entertainment was also outdated and the movies available were poor compared to other airlines. The food was atrocious - we flew BA LHR-HongKong and return and Cathay HK-Australia return and the comparison was vast. We were offered pre meal drinks and snacks, drinks with our meal, a menu for our flights so we knew our choices, the quality of the food was vastly better with Cathay. Our luggage was lost for nearly two hours in Hong Kong and when we arrived into London, one of our bags was so badly damaged it was unusable. The only redeeming part was the crew on our return flight were amazing. Severine was an angel and helped make the journey more pleasant for my kids.",3.0,2024-01-18,United Kingdom,False,verified excited fly ba travelled long haul yr travelled australia many occasion pretty much travelled terrible experience ba become ryanair long haul travel riding previous good name reputation delayed hr terminal offered one glass water last minute meal additional drink offered charging point outdated work family five travelling flight entertainment also outdated movie available poor compared airline food atrocious flew ba lhr hongkong return cathay hk australia return comparison vast offered pre meal drink snack drink meal menu flight knew choice quality food vastly better cathay luggage lost nearly two hour hong kong arrived london one bag badly damaged unusable redeeming part crew return flight amazing severine angel helped make journey pleasant kid
11,"Not Verified |  I just want to warn everyone of the worst customer service experience ever! It really looks like British Airways customer service over the phone are trained to not help you in anyway and to create more problems rather than solving them. Last week we called British Airways to make a reservation for the family. At the time we explained to the customer service representative that we wanted to make a booking and then pay with a transfer of miles from American Express. The representative told us that he could not make the reservation until the miles were in the account, and asked us to contact American Express and make the transfer so that the booking could be made. The conversation was recorded by British Airways and could be checked. We immediately called AMEX (within 30 minutes) and solicited the transfer of 500K miles. AMEX clearly stated to us whether we were sure as the transfer was not reversible. We said that it was fine since we had checked previously with British Airways. We then called British Airways immediately to make our reservation to Miami. They confirmed that the miles arrived to our account, but to our surprise they told us that there was no space (not even one seat to Miami) and that we could not use the miles. We explained the situation and how we were led to believe that we could have a flight with miles if we transferred the miles, but all this went on deaf ears. We called the German office, which was absolutely unhelpful, so we also called UK customer service which was just as unhelpful. No manager was able to open a flight for us with miles and they just kept repeating that this was not possible (even though we if we paid for the flight and got the seats and also seats were available if we would have had gold status). In the end British Airways took absolutely no responsibility for causing the problem, did not give us a solution, kept our miles and we have to pay for a trip to Miami. With this service to their customers this is a company that should not be in business. Every time we call they made us wait for over 45 minutes then they answer and put us on hold, I have 2 days of waiting and talking with British Airways for over 2 hours each day, we were on the line for over 45 minutes each time. We were told by the lady agent to hang up the phone as I was too long on the phone and she had other customers? And we are not customers? They never help us.",2.0,2024-01-17,Germany,False,verified want warn everyone worst customer service experience ever really look like british airway customer service phone trained help anyway create problem rather solving last week called british airway make reservation family time explained customer service representative wanted make booking pay transfer mile american express representative told u could make reservation mile account asked u contact american express make transfer booking could made conversation recorded british airway could checked immediately called amex within minute solicited transfer k mile amex clearly stated u whether sure transfer reversible said fine since checked previously british airway called british airway immediately make reservation miami confirmed mile arrived account surprise told u space even one seat miami could use mile explained situation led believe could flight mile transferred mile went deaf ear called german office absolutely unhelpful also called uk customer service unhelpful manager able open flight u mile kept repeating possible even though paid flight got seat also seat available would gold status end british airway took absolutely responsibility causing problem give u solution kept mile pay trip miami service customer company business every time call made u wait minute answer put u hold day waiting talking british airway hour day line minute time told lady agent hang phone long phone customer customer never help u
12,"Not Verified | Paid for business class travelling Cairo to London Heathrow but all I got was an economy seat. Only difference from economy is middle seat was vacant. Couldn't recline, no entertainment for the 5hr+ flight, uncomfortable seat and disgusting food. Put in a formal complaint 3 days ago and had no reply. BA's account on X is hacked. Got approached by scammers after posting there and even after flagging this to BA nothing done about it. Just disgusting. Avoid. ",1.0,2024-01-16,United Kingdom,False,verified paid business class travelling cairo london heathrow got economy seat difference economy middle seat vacant recline entertainment hr flight uncomfortable seat disgusting food put formal complaint day ago reply ba account x hacked got approached scammer posting even flagging ba nothing done disgusting avoid
